cell_id,mf2050,polf2050,secf2050,susf2050
MEK_6,333.2131853914,9938.39260481,256.48304246,255.8950154037
MEK_7,0,29454.1150182865,0,0
MEK_8,4.077069226,5424.754750646,112.816889399,90.1828918245
MEK_9,0,1146.2734849494,0,959.4188435994
MEK_10,0,521.202380415,0,521.202380415
MEK_11,0,603.9662328691,0,468.623845376
MEK_12,80.3460179751,520.9458835891,0,520.9458835891
MEK_13,240.0158084968,240.0158084968,164.4986113992,547.7649693098
MEK_14,0,0,0,0
MEK_15,0,0,0,0
MEK_16,0,1435.5034977556,0,1924.5339489266
MEK_17,0,0,60.4306452921,0
MEK_18,0,196.3265255909,0,212.7954752493
MEK_19,0,0,0,15.6233756694
MEK_20,410.0859422319,539.6526015536,399.6194510254,583.905851902
MEK_21,0,0,0,38.899890108
MEK_22,0,0,0,0
MEK_23,0,0,0,0
MEK_24,0,142.857179119,55.743666715,142.857179119
MEK_25,0,1126.3158277969,0,1125.9377563969
MEK_26,0,0,0,0
MEK_27,0,0,904.7774447492,0
MEK_28,0,0,0,0
MEK_29,112.6609172948,373.1570416668,0,373.1570416668
MEK_30,0,63.049878517,0,63.049878517
MEK_31,0,0,0,143.9841831559
MEK_32,0,125.5098177895,0,448.8611402773
MEK_33,286.9428059027,1137.8610866257,0,731.6216251887
MEK_34,0,0,0,0
MEK_35,2564.8438422249,2610.4918669238,0,8851.7027665187
MEK_36,0,137.3219928556,0,580.3940428611
MEK_37,7291.2306568428,1901.0064353278,0,18586.9878793508
MEK_38,783.7899682501,0,0,6608.2870563266
MEK_39,613.7380760439,1670.6057240699,0,2771.3148217199
MEK_41,0,1602.673253504,0,1521.836224852
MEK_42,0,49.9192902639,0,49.9192902639
MEK_43,0,367.910307605,0,9145.72311848
WAN_1,0,29.2168854301,0,0
WAN_2,9134.2059853731,29192.1532493731,4244.9220195831,17095.5245810731
WAN_3,67424.7272667992,107153.710839627,67296.8518037127,69906.7952068597
WAN_4,2561.127881311,9467.185428351,22.750544465,4525.242846981
WAN_5,5828.9272241006,48783.6143861626,1991.0711445956,7281.7120774626
WAN_6,1415.3973624335,2785.8123267135,1415.3973624335,1415.3973624335
WAN_7,17292.1577507811,19882.3812485851,17206.6792371851,18089.5259968851
WAN_8,50515.4713689648,75783.2932878789,52395.5417179967,53361.1864876164
WAN_9,8717.0984789247,10964.054291693,8717.0984789057,8788.084316789
WAN_10,11568.4429012829,12335.4929099139,12499.1957813084,11568.5412138934
WAN_11,5348.6924045442,6776.4566466447,5015.6719816442,5561.6087590447
WAN_12,3659.1970529007,3137.771193454,4235.0823089227,3109.9956989098
WAN_13,18331.9164443139,24198.2946030061,25899.0528416568,18175.1728705519
WAN_14,19994.9316953095,31815.4800401915,11578.4708948555,24177.8390729855
WAN_15,0,0,0,0
WAN_16,14323.0221919075,4004.8796781906,2991.9535443866,14576.7376958125
WAN_17,20124.9384673155,30034.6873123923,5437.3863320956,22919.9269280961
