field_name,ef_value_imp_bas_nocons_comprov,ef_value_imp_bas_nocons_wildprov,ef_value_imp_bas_nocons_regprov,ef_value_imp_bas_nocons_totef,ef_value_imp_sc4_nocons_comprov,ef_value_imp_sc4_nocons_wildprov,ef_value_imp_sc4_nocons_regprov,ef_value_imp_sc4_nocons_totef,ef_value_change_sc4_nocons_comprovch ,ef_value_change_sc4_nocons_wildprovch ,ef_value_change_sc4_nocons_regprovch ,ef_value_change_sc4_nocons_totefch ,ef_value_imp_sc3_nocons_comprov,ef_value_imp_sc3_nocons_wildprov,ef_value_imp_sc3_nocons_regprov,ef_value_imp_sc3_nocons_totef,ef_value_change_sc3_nocons_comprovch ,ef_value_change_sc3_nocons_wildprovch ,ef_value_change_sc3_nocons_regprovch ,ef_value_change_sc3_nocons_totefch ,ef_value_imp_sc2_nocons_comprov,ef_value_imp_sc2_nocons_wildprov,ef_value_imp_sc2_nocons_regprov,ef_value_imp_sc2_nocons_totef,ef_value_change_sc2_nocons_comprovch ,ef_value_change_sc2_nocons_wildprovch ,ef_value_change_sc2_nocons_regprovch ,ef_value_change_sc2_nocons_totefch ,ef_value_imp_sc1_nocons_comprov,ef_value_imp_sc1_nocons_wildprov,ef_value_imp_sc1_nocons_regprov,ef_value_imp_sc1_nocons_totef,ef_value_change_sc1_nocons_comprovch ,ef_value_change_sc1_nocons_wildprovch ,ef_value_change_sc1_nocons_regprovch ,ef_value_change_sc1_nocons_totefch 
GLR_285,0.003142019,0.013039176,0.013269663,0.029450858,0.007417834,0.000593533,0.001307344,0.009318712,0.005299826,-0.0127006,-0.012562283,-0.019963058,0.007208569,0.000704827,0.001541758,0.009455154,0.005299826,-0.0127006,-0.012562283,-0.019963058,0.007299757,0.000667515,0.001458321,0.009425593,0.005299826,-0.0127006,-0.012562283,-0.019963058,0.007308223,0.000695079,0.001520866,0.009524167,0.005299826,-0.0127006,-0.012562283,-0.019963058
GLR_286,0.008410071,0.028793169,0.109274499,0.146477739,0.008185757,0.041557054,0.157646502,0.207389312,0.000905706,-0.005087266,-0.019239614,-0.023421174,0.008740864,0.041831845,0.155298923,0.205871633,0.001826221,-0.008698477,-0.033202937,-0.040075192,0.008602935,0.041748222,0.155618882,0.20597004,0.001538842,-0.007617667,-0.029023812,-0.035102637,0.008880838,0.041341552,0.153765669,0.20398806,0.001848328,-0.008655484,-0.0330367,-0.039843857
GLR_287,0.005563734,0.005170352,0.01946739,0.030201476,0.005331454,0.006298081,0.021527735,0.033157269,0.000503711,-0.00157766,-0.007217504,-0.008291453,0.005457207,0.003020587,0.009194342,0.017672136,0.000827117,-0.003719358,-0.015019501,-0.017911741,0.005510686,0.004107165,0.013259342,0.022877194,0.00080913,-0.003087118,-0.012681287,-0.014959275,0.005532649,0.003360262,0.010529359,0.01942227,0.000827117,-0.003533551,-0.014301049,-0.017007482
GLR_288,0.00927636,0.03477797,0.120167685,0.164222015,0.014787825,0.028690026,0.096613172,0.140091023,0.007552882,-0.018411964,-0.065631058,-0.07649014,0.017530101,0.021489309,0.065220071,0.104239482,0.011252873,-0.024455187,-0.088998141,-0.102200455,0.016898247,0.0235548,0.074034387,0.114487434,0.010265712,-0.022830522,-0.082716115,-0.095280924,0.017571739,0.022109787,0.067883186,0.107564712,0.011021038,-0.024008178,-0.08726971,-0.10025685
GLR_289,0.005893207,0.017277917,0.066645009,0.089816133,0.007586632,0.015437751,0.059307836,0.082332218,0.002740737,-0.00847157,-0.032756673,-0.038487506,0.008891899,0.009519049,0.035745757,0.054156704,0.004519959,-0.012705268,-0.049126938,-0.057312246,0.008817564,0.010648082,0.040161357,0.059627003,0.004303914,-0.011877004,-0.045924327,-0.053497417,0.008931255,0.009515257,0.035801436,0.054247948,0.004423429,-0.012642986,-0.048886116,-0.057105673
GLR_290,0.012923757,0.023666162,0.08735452,0.123944439,0.016042341,0.014663143,0.053008551,0.083714035,0.005333184,-0.015301684,-0.057162595,-0.067131096,0.016518642,0.008737956,0.029269028,0.054525626,0.006420972,-0.019468725,-0.073134,-0.086181754,0.016426259,0.010543834,0.036404573,0.063374667,0.006072483,-0.018318126,-0.068685028,-0.080930671,0.016683037,0.008984434,0.030304368,0.055971839,0.006347087,-0.019289798,-0.07244215,-0.085384861
GLR_291,0.005631326,0.008330163,0.032127175,0.046088665,0.005430882,0.008767775,0.033133475,0.047332133,0.000549274,-0.003328653,-0.013194302,-0.015973682,0.005636205,0.006622834,0.02476441,0.037023449,0.000969147,-0.005148764,-0.019988366,-0.024167984,0.005467392,0.007859962,0.029557985,0.042885339,0.00069147,-0.004343439,-0.016874449,-0.020526419,0.005559413,0.006862677,0.025724624,0.038146714,0.000790441,-0.004987318,-0.019364108,-0.023560986
GLR_292,0.009730576,0.001626253,0.005813194,0.017170024,0.008639069,0.000930528,0.002822929,0.012392526,0.000101091,-0.00109544,-0.004235694,-0.005230044,0.008468612,0.00064545,0.001566335,0.010680397,0.000186885,-0.001316199,-0.005089295,-0.006218609,0.008407686,0.000611281,0.001482106,0.010501073,-0.00000746,-0.001316199,-0.005089295,-0.006412956,0.008160991,0.000636523,0.001545322,0.010342835,-0.000303685,-0.001316199,-0.005089295,-0.006709179
GLR_293,0.011970829,0.009782341,0.036935864,0.058689034,0.011878584,0.011905573,0.037980093,0.061764249,0.001547559,-0.002990899,-0.0152977,-0.01674104,0.012265506,0.00692427,0.02098865,0.040178426,0.002393117,-0.006456142,-0.026727202,-0.030790227,0.011878096,0.008824054,0.027869086,0.048571236,0.001765662,-0.005306611,-0.022628337,-0.026169286,0.011986595,0.008162785,0.02523665,0.04538603,0.001875079,-0.005806206,-0.024491557,-0.028422684
GLR_294,0.005747525,0.020986736,0.003162813,0.029897074,0.012366913,0.007947926,0.004833726,0.025148564,0.008326604,-0.016452903,-0.0005388,-0.008665099,0.012014187,0.009438245,0.005707148,0.02715958,0.008322105,-0.016452903,-0.0005388,-0.008669598,0.012154494,0.008938607,0.005396071,0.026489172,0.008308607,-0.016452903,-0.0005388,-0.008683095,0.01215301,0.00930771,0.005629168,0.027089887,0.008290611,-0.016452903,-0.0005388,-0.008701091
